path,category,domain,review_state,evidence,justification
.editorconfig,root-config,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
.github/ISSUE_TEMPLATE/bug_report.md,ci-config,ci,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
.github/ISSUE_TEMPLATE/feature_request.md,ci-config,ci,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
.github/ISSUE_TEMPLATE/question.md,ci-config,ci,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
.github/ISSUE_TEMPLATE/security.md,ci-config,ci,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
.github/PULL_REQUEST_TEMPLATE.md,ci-config,ci,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
.github/workflows/ci.yml,ci-config,ci,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
.github/workflows/release.yml,ci-config,ci,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
.gitignore,root-config,root-config,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
.node-version,root-config,root-config,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
.nvmrc,root-config,root-config,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
CHANGELOG.md,root-config,root-config,read-P01,read during P01/P02 document pass (progress.jsonl),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
CODE_OF_CONDUCT.md,root-config,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
CONTRIBUTING.md,root-config,root-config,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
FUNDING.md,root-config,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
LICENSE,root-config,root-config,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
NOTICE,root-config,misc,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
README.md,root-config,root-config,read-P01,read during P01/P02 document pass (progress.jsonl),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
build.ts,root-config,root-config,read-P06;executed-P05,named in progress.jsonl P06; consumed by npm ci / lint / build:prod in P05 (TEST-RESULTS.md),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/.nojekyll,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/AUDIO-AUDIT.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/AUDIO-AUDIT.pt-BR.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/COMPATIBILITY.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/COMPATIBILITY.pt-BR.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/CONTRACTS.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/CONTRACTS.pt-BR.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/CUSTOMIZATION.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/CUSTOMIZATION.pt-BR.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/FAQ.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/FAQ.pt-BR.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/INSTALL.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/INSTALL.pt-BR.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/PRIVACY.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/PRIVACY.pt-BR.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/SECURITY.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/SECURITY.pt-BR.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/THIRD-PARTY-NOTICES.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/THIRD-PARTY-NOTICES.pt-BR.md,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/USER-GUIDE.md,doc-public,docs-public,read-P01,read during P01/P02 document pass (progress.jsonl),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/USER-GUIDE.pt-BR.md,doc-public,docs-public,read-P01,read during P01/P02 document pass (progress.jsonl),tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/apple-touch-icon.png,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
docs/assets/videos/01_install_open_narrated.mp4,doc-public,docs-public,inventoried,listed by git ls-files; not read or executed in this audit,tracked file; state reflects only recorded evidence (see relabel-evidence-states.py)
