feature_id,surface,entry_point,handler,payload,authorization,state_persistence,target,feedback,test,real_evidence,status,residual_risk,evidence_basis
pad-1,phone PERF,static/phone-v3/controls.js#pad-1,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-1,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
pad-2,phone PERF,static/phone-v3/controls.js#pad-2,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-2,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
pad-3,phone PERF,static/phone-v3/controls.js#pad-3,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-3,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
pad-4,phone PERF,static/phone-v3/controls.js#pad-4,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-4,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
pad-5,phone PERF,static/phone-v3/controls.js#pad-5,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-5,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
pad-6,phone PERF,static/phone-v3/controls.js#pad-6,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-6,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
pad-7,phone PERF,static/phone-v3/controls.js#pad-7,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-7,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
pad-8,phone PERF,static/phone-v3/controls.js#pad-8,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-8,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
pad-9,phone PERF,static/phone-v3/controls.js#pad-9,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-9,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
pad-10,phone PERF,static/phone-v3/controls.js#pad-10,static/phone-v3/controls.js makePad + window.onControl,control frame value 0..1 / pad-10,controller role token; mapped? bound via MAP,localStorage cfg override (CFG); last value,Live device parameter via continuousTargetActuator (src/live/continuous-target-actuator.ts) or RC-Midi-Receiver v2 SDK packet (MIDI_PACKET_PARAMETER=RC MIDI Packet v2),"pad fill, mode letter tag, haptics retired (no haptics UI)",tests/live-mappings-*; static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,tests/live-mappings-* (suite ampla); static/phone-v3/pointer-controls.test.mjs; user guide cap 1.0.0,owner-accepted-2026-09-19;automated-test-P05;code-reviewed-P02,CFG override may shadow mapping; trigger note ordering with OFF,"workflow-main tasks/rc-surface-v1-stage-acceptance-2026-09-18: 18/09 pads 1..12 number + mode letter; 19/09 two pads at once, modes A/B/C/D, pad held + XY/LFO | ran in P05 npm test / test:ui: static/phone-v3/pointer-controls.test.mjs, tests/live-mappings-clear.test.mjs, tests/live-mappings-curve.test.mjs, tests/live-mappings-high-rate.test.mjs … | progress.jsonl P02: controls.js"
